barcode_01	232	314	650	802
barcode_02	161	222	734	669
barcode_03	329	384	458	797
barcode_04	224	308	630	490
barcode_05	197	127	416	673
barcode_06	835	666	1998	1221
barcode_07	349	200	895	441
barcode_08	905	1040	1270	2074
barcode_09	863	2394	1884	3571
barcode_10	370	459	922	1876
barcode_11	204	142	481	827
barcode_12	192	196	889	506
barcode_13	690	710	1309	2109
barcode_14	196	219	815	495
barcode_15	844	1481	1942	2099
barcode_16	239	164	768	458
barcode_17	1033	852	1462	1978
barcode_18	212	130	481	862
barcode_19	82	230	947	493
barcode_20	299	803	1401	2096
barcode_21	75	110	625	750
barcode_22	327	140	882	611
barcode_23	174	245	822	505
barcode_24	425	434	887	1415
barcode_25	211	349	1245	718
